time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T11:13:51.710Z,32.8381667,-115.6336667,7.52,1.5,ml,23,61,0.08069,0.26,ci,ci39896647,2021-12-26T11:18:15.497Z,"6km W of Imperial, CA",earthquake,0.5,1.29,0.153,25,automatic,ci,ci
2021-12-26T11:09:17.580Z,33.5913333,-116.8053333,7.4,0.79,ml,18,74,0.0345,0.19,ci,ci39896639,2021-12-26T11:13:50.956Z,"13km WNW of Anza, CA",earthquake,0.38,0.76,0.175,9,automatic,ci,ci
2021-12-26T11:00:54.590Z,19.2506675720215,-155.411666870117,30.7299995422363,2.01999998,md,31,143,,0.129999995,hv,hv72847037,2021-12-26T11:04:03.470Z,"8 km NE of Pāhala, Hawaii",earthquake,0.51,1.07000005,0.870000005,3,automatic,hv,hv
2021-12-26T11:00:40.100Z,36.0886667,-117.864,3.1,1.43,ml,17,69,0.02979,0.15,ci,ci39896631,2021-12-26T11:05:07.526Z,"9km ENE of Coso Junction, CA",earthquake,0.31,0.54,0.207,18,automatic,ci,ci
2021-12-26T10:40:17.008Z,38.6401,-97.5152,5,3.9,mb_lg,,74,0.691,0.46,us,us6000gfe5,2021-12-26T16:24:23.125Z,"8 km ESE of Assaria, Kansas",earthquake,2.3,2,0.037,192,reviewed,us,us
2021-12-26T10:39:26.551Z,-9.6796,161.0093,10,4.7,mb,,111,1.074,0.58,us,us6000gfe8,2021-12-26T11:05:21.040Z,"106 km SSE of Auki, Solomon Islands",earthquake,9.4,1.9,0.079,49,reviewed,us,us
2021-12-26T10:38:32.071Z,61.3279,-150.3265,42.4,1.3,ml,,,,0.67,ak,ak021gjjnhif,2021-12-26T10:41:51.169Z,"18 km W of Point MacKenzie, Alaska",earthquake,,1,,,automatic,ak,ak
2021-12-26T10:35:29.450Z,63.1198,-150.475,109,1.7,ml,,,,0.35,ak,ak021gjjmu5t,2021-12-26T10:45:31.763Z,"71 km NNE of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-12-26T10:32:04.710Z,33.5863333,-116.8008333,8.91,0.67,ml,11,170,0.03153,0.13,ci,ci39896623,2021-12-26T10:36:35.528Z,"12km WNW of Anza, CA",earthquake,0.54,0.66,0.368,13,automatic,ci,ci
2021-12-26T10:06:08.174Z,61.3071,-146.8156,35,1.2,ml,,,,0.64,ak,ak021gjjgkr5,2021-12-26T10:10:17.401Z,"31 km NW of Valdez, Alaska",earthquake,,2.4,,,automatic,ak,ak
2021-12-26T09:17:02.975Z,24.8488,125.7872,35,4.6,mww,,91,2.554,0.9,us,us6000gfdl,2021-12-26T12:18:33.722Z,"49 km E of Hirara, Japan",earthquake,7.8,1.9,0.093,11,reviewed,us,us
2021-12-26T09:16:09.640Z,19.0106,-65.0906,23,3.37,md,15,306,0.7288,0.37,pr,pr2021360003,2021-12-26T09:46:12.222Z,"75 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.62,29.48,0.07,11,reviewed,pr,pr
2021-12-26T09:14:52.880Z,36.9413338,-121.5404968,9.27,1.47,md,16,117,,0.15,nc,nc73668581,2021-12-26T09:49:11.300Z,"8km SSE of Gilroy, CA",earthquake,0.51,1.03,0.21,13,automatic,nc,nc
2021-12-26T09:14:19.296Z,59.2536,-154.6184,2.8,1.6,ml,,,,0.4,ak,ak021gjiwvqh,2021-12-26T09:17:31.875Z,"22 km SSE of Kokhanok, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T09:00:45.071Z,61.2174,-147.4636,3,1.6,ml,,,,1.19,ak,ak021gjitxrp,2021-12-26T09:05:20.333Z,"57 km NW of Tatitlek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T08:45:38.810Z,33.2845,-116.2646667,2.54,1.38,ml,31,91,0.08629,0.25,ci,ci39896615,2021-12-26T17:10:47.030Z,"11km ENE of Borrego Springs, CA",earthquake,0.37,0.53,0.141,27,reviewed,ci,ci
2021-12-26T08:44:39.560Z,18.8721675872803,-155.156005859375,11.6899995803833,2.84,ml,31,265,,0.209999993,hv,hv72846932,2021-12-26T09:12:51.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,1.87,2.44000006,2.14,18,automatic,hv,hv
2021-12-26T08:39:52.860Z,18.8825,-67.6856,74,3.37,md,16,221,0.7086,0.43,pr,pr2021360002,2021-12-26T11:02:57.990Z,"75 km NW of Aguadilla, Puerto Rico",earthquake,3.81,5.65,0.13,9,reviewed,pr,pr
2021-12-26T08:36:28.920Z,61.3529,-150.0733,16.5,3,ml,,,,0.91,ak,ak021gjig6ox,2021-12-26T16:25:46.310Z,"5 km W of Point MacKenzie, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T08:26:46.517Z,25.2257,125.5917,10,5.9,mww,,22,2.462,1,us,us6000gfd9,2021-12-26T11:36:46.912Z,"55 km NNE of Hirara, Japan",earthquake,6.3,1.8,0.042,54,reviewed,us,us
2021-12-26T08:22:40.320Z,33.863,-116.1593333,4.54,1.16,ml,22,118,0.06338,0.18,ci,ci39896599,2021-12-26T08:27:01.371Z,"17km NNE of Indio, CA",earthquake,0.42,0.57,0.221,24,automatic,ci,ci
2021-12-26T08:19:13.323Z,62.7409,-151.0061,119.4,1.1,ml,,,,0.41,ak,ak021gjici90,2021-12-26T08:23:05.202Z,"29 km NNW of Petersville, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-12-26T08:18:07.410Z,36.0516667,-117.9641667,2.67,1.38,ml,22,66,0.07414,0.14,ci,ci39896591,2021-12-26T17:12:00.138Z,"2km WNW of Coso Junction, CA",earthquake,0.23,1.14,0.202,19,reviewed,ci,ci
2021-12-26T08:16:01.330Z,33.9211667,-117.8943333,3.09,1.23,ml,28,48,0.03436,0.27,ci,ci39896583,2021-12-26T08:20:53.785Z,"1km NE of Brea, CA",earthquake,0.36,0.58,0.222,31,automatic,ci,ci
2021-12-26T07:53:02.570Z,36.5914993,-121.1866684,6.08,2.23,md,22,123,,0.06,nc,nc73668571,2021-12-26T09:39:19.592Z,"8km NNW of Pinnacles, CA",earthquake,0.26,0.47,0.19,24,automatic,nc,nc
2021-12-26T07:38:16.248Z,40.0435,83.0494,9.63,4.1,mb,,85,4.229,0.42,us,us6000gfd3,2021-12-26T08:01:49.040Z,"161 km ESE of Aral, China",earthquake,6.1,5.3,0.185,9,reviewed,us,us
2021-12-26T07:27:36.384Z,63.2927,-151.3106,0,1.5,ml,,,,0.5,ak,ak021gjhsu5k,2021-12-26T07:33:49.842Z,"34 km SE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T07:19:46.560Z,36.5881653,-121.1896667,6.12,3.31,ml,53,66,,0.15,nc,nc73668566,2021-12-26T16:42:44.575Z,"8km NNW of Pinnacles, CA",earthquake,0.25,0.65,0.216,30,automatic,nc,nc
2021-12-26T07:02:40.080Z,19.2468338012695,-155.421005249023,34.4000015258789,2.1500001,md,30,123,,0.129999995,hv,hv72846832,2021-12-26T07:05:52.750Z,"7 km NE of Pāhala, Hawaii",earthquake,0.63,0.920000017,0.949999988,7,automatic,hv,hv
2021-12-26T06:53:29.690Z,35.8675,-117.6718333,6.52,1.25,ml,18,91,0.07946,0.13,ci,ci39896551,2021-12-26T06:57:50.800Z,"22km ESE of Little Lake, CA",earthquake,0.23,0.61,0.179,16,automatic,ci,ci
2021-12-26T06:51:55.331Z,31.201,142.2293,10,4.8,mb,,120,2.8,0.41,us,us6000gfcw,2021-12-26T07:26:18.040Z,"Izu Islands, Japan region",earthquake,9.3,1.9,0.041,181,reviewed,us,us
2021-12-26T06:29:04.290Z,33.3465,-116.2405,9.43,1.39,ml,43,40,0.05996,0.24,ci,ci39896543,2021-12-26T06:33:33.484Z,"16km NE of Borrego Springs, CA",earthquake,0.29,0.84,0.132,27,automatic,ci,ci
2021-12-26T06:28:57.419Z,52.4021,-31.7545,10,4.6,mb,,70,15.344,0.55,us,us6000gfcu,2021-12-26T07:03:22.040Z,"northern Mid-Atlantic Ridge",earthquake,7.8,1.7,0.041,178,reviewed,us,us
2021-12-26T06:20:34.070Z,35.866,-117.6658333,7.18,2.27,ml,23,96,0.07481,0.18,ci,ci39896535,2021-12-26T06:32:16.970Z,"23km ESE of Little Lake, CA",earthquake,0.3,0.8,0.129,25,automatic,ci,ci
2021-12-26T06:12:11.972Z,63.8484,-149.0756,0.4,1.5,ml,,,,0.67,ak,ak021gjh44x8,2021-12-26T06:23:22.069Z,"5 km W of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-12-26T05:52:51.934Z,38.213,-117.8401,0.2,1.3,ml,12,156.39,0.115,0.3365,nn,nn00830498,2021-12-26T05:56:58.347Z,"30 km SE of Mina, Nevada",earthquake,,4.3,0.63,4,automatic,nn,nn
2021-12-26T05:51:51.030Z,33.4765,-116.5246667,11.37,0.76,ml,31,54,0.06788,0.19,ci,ci39896527,2021-12-26T05:56:21.962Z,"16km ESE of Anza, CA",earthquake,0.28,0.56,0.18,18,automatic,ci,ci
2021-12-26T05:51:08.963Z,60.1938,-150.794,50.5,1.4,ml,,,,0.41,ak,ak021gjgr20g,2021-12-26T06:15:00.811Z,"31 km ESE of Kasilof, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-12-26T05:43:14.406Z,63.8624,-149.2421,105,2.4,ml,,,,0.81,ak,ak021gjgpcyk,2021-12-26T06:12:53.040Z,"13 km W of Healy, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-12-26T05:37:08.451Z,-22.9654,172.0586,10,4.9,mb,,92,4.27,1.07,us,us6000gfcm,2021-12-26T06:03:31.040Z,"southeast of the Loyalty Islands",earthquake,5.1,1.9,0.117,26,reviewed,us,us
2021-12-26T05:33:09.170Z,17.9561,-66.8143,10,2.89,md,24,170,0.0676,0.12,pr,pr2021360001,2021-12-26T06:03:52.945Z,"4 km S of Indios, Puerto Rico",earthquake,0.24,0.26,0.23,8,reviewed,pr,pr
2021-12-26T05:31:54.490Z,19.204833984375,-155.434997558594,33,2.00999999,md,37,134,,0.109999999,hv,hv72846777,2021-12-26T05:34:57.230Z,"4 km E of Pāhala, Hawaii",earthquake,0.49,0.860000014,1.59000003,14,automatic,hv,hv
2021-12-26T05:01:21.441Z,62.7086,-149.7048,52.9,1.4,ml,,,,0.47,ak,ak021gjggd2w,2021-12-26T05:05:22.404Z,"35 km NE of Chase, Alaska",earthquake,,2.3,,,automatic,ak,ak
2021-12-26T05:01:03.080Z,61.5146,-149.7217,32.5,1.4,ml,,,,0.74,ak,ak021gjggbr8,2021-12-26T05:07:02.725Z,"6 km N of Knik, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-12-26T04:49:44.950Z,61.5485,-151.3876,74.5,2,ml,,,,0.48,ak,ak021gjg59ql,2021-12-26T05:03:11.871Z,"46 km W of Susitna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-12-26T04:27:37.600Z,19.2159996032715,-155.373992919922,31.2000007629395,1.90999997,md,26,157,,0.119999997,hv,hv72846747,2021-12-26T04:30:49.040Z,"11 km E of Pāhala, Hawaii",earthquake,0.75,0.930000007,1.90999997,4,automatic,hv,hv
